"In stock","In stock"
"Out of stock","Out of stock"
"and","and"
"save","save"
"Coupon code was canceled.","Coupon code was canceled."
"The requested quantity is not available","The requested quantity is not available"
"The requested quantity of ","The requested quantity of "
" is not available"," is not available"
"Unable to add product to cart.","Unable to add product to cart."
"Can't add the item to shopping cart.","Can't add the item to shopping cart."
"Customer Address is not valid.","Customer Address is not valid."
"This email already exist.","This email already exist."
"Invalid Billing data.","Invalid Billing data."
"Invalid shipping method.","Invalid shipping method."
"Invalid Shipping data.","Invalid Shipping data."
"Guest Checkout is not Enabled","Guest Checkout is not Enabled"
"This account is not confirmed.","This account is not confirmed."
"Invalid login or password.","Invalid login or password."
"Invalid email address.","Invalid email address."
"There is already an account with this email address.","There is already an account with this email address."
"Your Account has been successfully created","Your Account has been successfully created"
"Please enter your email.","Please enter your email."
"Invalid current password","Invalid current password"
"The account information has been saved.","The account information has been saved."
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"You have no additional address.","You have no additional address."
"Can't delete item from wishlist","Can't delete item from wishlist"
"Can't update wishlist","Can't update wishlist"
"Wishlist updated successfully","Wishlist updated successfully"
"Sorry This Order Does not Exist!!","Sorry This Order Does not Exist!!"
"Unlimited","Unlimited"
"Requested link does not exist.","Requested link does not exist."
"An error occurred while getting the requested content. Please contact the store owner."),"An error occurred while getting the requested content. Please contact the store owner.")
"The link has expired.","The link has expired."
"No shipping information available","No shipping information available"
"Subtotal","Subtotal"
"Shipping & Handling","Shipping & Handling"
"Discount","Discount"
"Tax","Tax"
"Grand Total","Grand Total"
"Grand Total to be Charged","Grand Total to be Charged"
"Product(s) Has been Added to cart.","Product(s) Has been Added to cart."
"Following Products","Following Products"
"can't be added to cart as they are Out Of Stock","can't be added to cart as they are Out Of Stock"
"Can't add the item to shopping cart.","Can't add the item to shopping cart."
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
"The subscription has been saved.","The subscription has been saved."
"The subscription has been removed.","The subscription has been removed."
"An error occurred while deleting the item from wishlist.","An error occurred while deleting the item from wishlist."
"Item successfully deleted from wishlist.","Item successfully deleted from wishlist."
"The address has been saved.","The address has been saved."
"The address has been deleted.","The address has been deleted."
"Please enter a valid email address.","Please enter a valid email address."
"Sorry, but administrator denied subscription for guests.","Sorry, but administrator denied subscription for guests."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Confirmation request has been sent.","Confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"Session Id Expired","Session Id Expired"
"Invalid Request","Invalid Request"
"The requested quantity is not available.","The requested quantity is not available."
"successfully generated hash","successfully generated hash"
"Order Status Changed!!","Order Status Changed!!"
"pending","pending"
"expired","expired"
"cancel","cancel"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Create Invoice","Create Invoice"
"Are you sure you want to create invoice?","Are you sure you want to create invoice?"
"You are now Loggedin","You are now Loggedin"

