"In stock", "En stock"
"Out of stock", "Rupture de stock"
"and", "et"
"save", "enregistrer"
"Coupon code was canceled.", "Le code du coupon a été annulé."
"The requested quantity is not available", "La quantité demandée n'est pas disponible"
"The requested quantity of ", "La quantité demandée de "
" is not available", " n'est pas disponible"
"Unable to add product to cart.", "Impossible d'ajouter le produit au panier."
"Can't add the item to shopping cart.", "Impossible d'ajouter l'article au panier."
"Customer Address is not valid.", "L'adresse du client n'est pas valide."
"This email already exist.", "Ce courriel existe déjà."
"Invalid Billing data.", "Données de facturation non valides."
"Invalid shipping method.", "Méthode d'expédition non valide."
"Invalid Shipping data.", "Données d'expédition non valides."
"Guest Checkout is not Enabled", "Le contrôle des invités n'est pas activé"
"This account is not confirmed.", "Ce compte n'est pas confirmé."
"Invalid login or password.", "Invalid login or password."
"Invalid email address.", "Adresse e-mail invalide."
"There is already an account with this email address.", "Il ya déjà un compte avec cette adresse e-mail."
"Your Account has been successfully created", "Votre compte à été créé avec succès"
"Please enter your email.", "Veuillez saisir votre adresse e-mail."
"Invalid current password", "Mot de passe actuel invalide"
"The account information has been saved.", "Les informations de compte ont été enregistrées."
"You are currently subscribed to 'General Subscription'.", "Vous êtes actuellement abonné à 'General Subscription'."
"You are currently not subscribed to any newsletter.", "Vous n'êtes actuellement abonné à aucun bulletin."
"You have not set a default billing address.", "Vous n'avez pas défini d'adresse de facturation par défaut."
"You have not set a default shipping address.", "Vous n'avez pas défini d'adresse de livraison par défaut."
"You have no additional address.", "Vous n'avez pas d'adresse supplémentaire."
"Can't delete item from wishlist", "Impossible de supprimer l'élément de la liste"
"Can't update wishlist", "Impossible de mettre à jour la liste de souhaits"
"Wishlist updated successfully", "Liste de souhaits mise à jour avec succès"
"Sorry This Order Does not Exist!!", "Désolé, cet ordre n'existe pas!"
"Unlimited", "Illimité"
"Requested link does not exist.", "Le lien demandé n'existe pas."
"An error occurred while getting the requested content. Please contact the store owner.", "Une erreur s'est produite lors de l'obtention du contenu demandé. Veuillez contacter le propriétaire du magasin."
"The link has expired.", "Le lien a expiré."
"No shipping information available", "Aucune information d'expédition disponible"
"Subtotal", "Sous-Total"
"Shipping & Handling", "Expédition et manutention"
"Discount", "Remise"
"Tax", "Impôt"
"Grand Total", "somme finale"
"Grand Total to be Charged", "Total général à imputer"
"Product(s) Has been Added to cart.", "Produit (s) A été ajouté au panier."
"Following Products", "Produits suivants"
"can't be added to cart as they are Out Of Stock", "Ne peuvent pas être ajoutés au panier car ils sont en rupture de stock"
"Can't add the item to shopping cart.", "Impossible d'ajouter l'article au panier."
"Your review has been accepted for moderation.", "Votre commentaire a été accepté pour modération."
"The subscription has been saved.", "L'abonnement a été enregistré."
"The subscription has been removed.", "L'abonnement a été supprimé."
"An error occurred while deleting the item from wishlist.", "Une erreur s'est produite lors de la suppression de l'élément de la liste de souhaits."
"Item successfully deleted from wishlist.", "Elément supprimé de la liste de souhaits."
"The address has been saved.", "L'adresse a été enregistrée."
"The address has been deleted.", "L'adresse a été supprimée."
"Please enter a valid email address.", "S'il vous plaît, mettez une adresse email valide."
"Sorry, but administrator denied subscription for guests.", "Désolé, mais l'administrateur a refusé l'abonnement pour les invités."
"This email address is already assigned to another user.", "Cette adresse e-mail est déjà affectée à un autre utilisateur."
"Confirmation request has been sent.", "La demande de confirmation a été envoyée."
"Thank you for your subscription.", "Merci de votre abonnement."
"Session Id Expired", "Id de session expiré"
"Invalid Request", "Requête invalide"
"successfully generated hash","hash généré avec succès"
"Order Status Changed!!","Statut de la commande changé !!"
"pending","pending"
"expired","expired"
"cancel","cancel"
"Are you sure you want to send order email to customer?","Are you sure you want to send order email to customer?"
"Create Invoice","Create Invoice"
"Are you sure you want to create invoice?","Are you sure you want to create invoice?"
"You are now Loggedin","You are now Loggedin"
