"Custom Field of Address","Endere&ccedil;o Personalizado"
"Settings Custom Address","Configura&ccedil;&atilde;o de Endere&ccedil;o Personalizado"
"Active","Ativar"
"Yes","Sim"
"No","Não"
"Enables or disables customization in address form.","Ativa ou desativa altera&ccedil;&atildeo no formul&aacute;rio de endere&ccedil;o"
"Autocomplete address fields","Autocompletar endere&ccedilo"
"Exclusive Brazilian zip","Ativa ou desativa o auto completar endereço"
"Available only to Brazilians zip, after fill the field  zip, with a valid zip, the other fields (address, neighborhood, city and state) are automaticamentes filled.","Depois de inserir um cep válido, ao sair do campo cep, os outros campos (endereço, bairro, cidade e estado) são preenchidos automaticamentes."
"Enable masks in telephone/fax","Ativar máscara de telefone"
"Standard format of Brazilians, example:(##)####-####","Adiciona máscara nos campos de telefone e celular."
"Works only for language pt_BR.","Máscara já está no padrão 9 digitos para celular."
"Enable masks in zip","Ativar máscara de cep"
"Standard format of Brazilians, example: #####-###","Exemplo: #####-###, aceita somente números."
"Configuration of the Form Fields","Configuração dos Campos do Formulário"
"Show zip link","Exibir link do cep"
"Displays the link that helps to find out the zip.","Exibe o link que ajuda a descobrir o cep."
"Enter the title of the link","Digite o título do link"
"Example: Do not know the zip","Exemplo: Não sabe o cep?"
"Show company","Exibir campo empresa"
"Displays the company field on the cadastre form.","Exibe o campo empresa no formulário de cadastro."
"Show country","Exibir campo país"
"Displays the country field on the cadastre form.","Exibe o campo país no formulário de cadastro."
"Company","Empresa"
"Fax","Celular"
"Address","Endereço"
"Number","Número"
"Region","Bairro"
"Complement","Complemento"
"Do not know the zip","Não sabe o cep?"
